stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station
"1100237","Neuenweg (Kr LÖ), Haldenhof","47.80322683","7.79217542","","Parent1100237"
"1100238","Gündenhausen, Würth Elektronik","47.65035961","7.79997280","","Parent1100238"
"1100239","Schwand (Tegernau), Unterdorf","47.73448062","7.79038777","","Parent1100239"
"1100240","Schwand (Tegernau), Schwand","47.73675832","7.79121422","","Parent1100240"
"1100241","Raich, Oberdorf","47.75071838","7.79526563","","Parent1100241"
"1100242","Oberhäuser (Baden), Abzweigung","47.75483138","7.79872414","","Parent1100242"
"1100244","Hohenegg (Baden), Raich","47.74864666","7.81143530","","Parent1100244"
"1100245","Hohenegg (Baden), Burstel","47.74400763","7.80913561","","Parent1100245"
"1100247","Todtmoos, Prestenberg","47.76494642","8.00597446","","Parent1100247"
"1100248","Todtmoos, Abzw. Rütte","47.76024845","8.00870534","","Parent1100248"
"1100249","Todtmoos, Im Bühl","47.75617212","8.00605531","","Parent1100249"
"1100250","Wyhlen, Rührberg","47.56924253","7.70138269","","Parent1100250"
"1100251","Wyhlen, Himmelspforte","47.55302100","7.69248039","","Parent1100251"
"1100252","Wyhlen, Klosterstrasse","47.55122031","7.69145631","","Parent1100252"
"1100253","Grenzach, Hebelstrasse","47.55510656","7.65962002","","Parent1100253"
"1100254","Grenzach, Im Proli","47.55785282","7.66234191","","Parent1100254"
"1100255","Grenzach, Erlenweg","47.55919862","7.66387803","","Parent1100255"
"1100257","Grenzach, Neufeld","47.56175070","7.67130710","","Parent1100257"
"1100258","Oberlehen (Schw),Abz. Todtmoos","47.78821258","8.04725205","","Parent1100258"
"1100259","Schopfheim, Hebelstr./Vicemoos","47.64607495","7.82668869","","Parent1100259"
"1100260","Ibach (D), Sonnenhalde","47.74347001","8.06047525","","Parent1100260"
"1100261","Ibach (D), Rathaus","47.74331295","8.06687125","","Parent1100261"
"1100262","Bernau (Schw), Hof","47.82075205","8.01567626","","Parent1100262"
"1100263","Bernau (Schw), Dorf Schulhof","47.80964036","8.03132492","","Parent1100263"
"1100264","Bernau (Schw), Rotes Kreuz","47.77205294","8.02013191","","Parent1100264"
"1100265","Bernau (Schw), Loipenzentrum","47.78296140","8.04206877","","Parent1100265"
"1100266","Rheinfelden (D), Realschule","47.56453299","7.78638129","","Parent1100266"
"1100267","Rheinfelden (D), Gymnasium","47.56028372","7.78033563","","Parent1100267"
